title,car_model_name,car_color,car_mileage,location,date,price
تويوتا ياريس 2019,ياريس,فضي,"93,000 كم",القاهرة,2024-05-20,"750,000 جنيه"
تويوتا كورولا 2021,كورولا,أسود,"75,000 كم",المهندسين,2024-05-20,"960,000 جنيه"
تويوتا كورولا 2021,كورولا,برونزي,"54,000 كم",الإسكندرية,2024-05-20,"1,020,000 جنيه"
تويوتا كورولا 2021,كورولا,أسود,"64,000 كم",الجيزة,2024-05-20,"1,000,000 جنيه"
تويوتا كورولا 2020,كورولا,بترولي,"165,000 كم",6 أكتوبر,2024-05-20,"799,999 جنيه"
تويوتا كورولا 2015,كورولا,رمادي,"245,000 كم",مدينة السادات,2024-05-20,"800,000 جنيه"
تويوتا كورولا 2024,كورولا,فضي,"4,000 كم",الإسماعيلية,2024-05-20,"1,375,000 جنيه"
تويوتا كورولا 2015,كورولا,أبيض,"130,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"795,000 جنيه"
تويوتا كورولا 2015,كورولا,أسود,"95,000 كم",المعادى,2024-05-20,"780,000 جنيه"
تويوتا كورولا 2009,كورولا,فيراني,"77,000 كم",شيراتون,2024-05-20,"700,000 جنيه"
تويوتا كورولا 2015,كورولا,أبيض,"115,000 كم",الوراق,2024-05-20,"850,000 جنيه"
تويوتا بلتا 2022,بلتا,أبيض,"11,000 كم",الزقازيق,2024-05-20,"880,000 جنيه"
تويوتا بيلتا 2022,بيلتا,أبيض,"11,000 كم",الزقازيق,2024-05-20,"880,000 جنيه"
تويوتا كورولا 2022,كورولا,أبيض,"55,000 كم",القاهرة,2024-05-20,"1,000,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"113,000 كم",المهندسين,2024-05-20,"950,000 جنيه"
تويوتا كورولا 2013,كورولا,أسود,"146,000 كم",المنصورة,2024-05-20,"715,000 جنيه"
تويوتا كورولا 2024,كورولا,أبيض,0 كم,6 أكتوبر,2024-05-20,"1,585,000 جنيه"
تويوتا كورولا 2022,كورولا,أبيض,"500,000 كم",مصر الجديدة,2024-05-20,"1,150,000 جنيه"
تويوتا كورولا 2022,كورولا,أسود,- كم,التجمع - القاهرة الجديدة,2024-05-20,"1,330,000 جنيه"
تويوتا كورولا 2019,كورولا,فضي,"98,000 كم",الجيزة,2024-05-20,"890,000 جنيه"
تويوتا فورتشنر 2024,فورتشنر,أبيض,0 كم,مصر الجديدة,2024-05-20,"4,250,000 جنيه"
تويوتا كورولا 2021,كورولا,فضي,"43,000 كم",مدينة الشيخ زايد,2024-05-20,"1,200,000 جنيه"
تويوتا فورتشنر 2024,فورتشنر,رمادي,60 كم,الشروق,2024-05-20,"3,700,000 جنيه"
تويوتا كورولا 2018,كورولا,فيراني,"205,000 كم",مدينة الشيخ زايد,2024-05-20,"800,000 جنيه"
تويوتا كورولا 2014,كورولا,بترولي,"195,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"705,000 جنيه"
تويوتا كورولا 2024,كورولا,بترولي,0 كم,التجمع - القاهرة الجديدة,2024-05-20,"1,650,000 جنيه"
تويوتا ياريس 2019,ياريس,أبيض,"71,000 كم",القاهرة,2024-05-20,"850,000 جنيه"
تويوتا كورولا 2016,كورولا,فيراني,"168,000 كم",القاهرة,2024-05-20,"765,000 جنيه"
